x,current_suppression_factor
2.520000000000000000e+02,3.062866117641152020e+00
2.525000000000000000e+02,3.064571482933495794e+00
2.530000000000000000e+02,3.066277823477220110e+00
2.535000000000000000e+02,3.067985088364419521e+00
2.540000000000000000e+02,3.069693329589324726e+00
2.545000000000000000e+02,3.071402496187326747e+00
2.550000000000000000e+02,3.073112640210569513e+00
2.555000000000000000e+02,3.074823710637674790e+00
2.560000000000000000e+02,3.076535759578769458e+00
2.565000000000000000e+02,3.078248735955641635e+00
2.570000000000000000e+02,3.079962691936463326e+00
2.575000000000000000e+02,3.081677576386125939e+00
2.580000000000000000e+02,3.083393441530914103e+00
2.585000000000000000e+02,3.085110236178756793e+00
2.590000000000000000e+02,3.086828012614113881e+00
2.595000000000000000e+02,3.088546719587894618e+00
2.600000000000000000e+02,3.090266409442794959e+00
2.605000000000000000e+02,3.091987030872640041e+00
2.610000000000000000e+02,3.093708636278430735e+00
2.615000000000000000e+02,3.095431174296839671e+00
2.620000000000000000e+02,3.097154697387237920e+00
2.625000000000000000e+02,3.098879154129085212e+00
2.630000000000000000e+02,3.100604597040187205e+00
2.635000000000000000e+02,3.102330974642727668e+00
2.640000000000000000e+02,3.104058339513009024e+00
2.645000000000000000e+02,3.105786640115874242e+00
2.650000000000000000e+02,3.107515929086192230e+00
2.655000000000000000e+02,3.109246154831401210e+00
2.660000000000000000e+02,3.110977370044996970e+00
2.665000000000000000e+02,3.112709523076950813e+00
2.670000000000000000e+02,3.114442666679455129e+00
2.675000000000000000e+02,3.116176749144946356e+00
2.680000000000000000e+02,3.117911823284378325e+00
2.685000000000000000e+02,3.119647837332590434e+00
2.690000000000000000e+02,3.121384844159361016e+00
2.695000000000000000e+02,3.123122791941869814e+00
2.700000000000000000e+02,3.124861733608787606e+00
2.705000000000000000e+02,3.126601617279567868e+00
2.710000000000000000e+02,3.128342495941837775e+00
2.715000000000000000e+02,3.130084317657261472e+00
2.720000000000000000e+02,3.131827135472489143e+00
2.725000000000000000e+02,3.133570897391331211e+00
2.730000000000000000e+02,3.135315656519525263e+00
2.735000000000000000e+02,3.137061360802966270e+00
2.740000000000000000e+02,3.138808063406543614e+00
2.745000000000000000e+02,3.140555712218169315e+00
2.750000000000000000e+02,3.142304360461953383e+00
2.755000000000000000e+02,3.144053955967759162e+00
2.760000000000000000e+02,3.145804552018985678e+00
