x,oxygen_diffusion_profile
1.595000000000000000e+02,8.273037821078778592e-13
1.600000000000000000e+02,6.995436792620505972e-13
1.605000000000000000e+02,5.912065121670444234e-13
1.610000000000000000e+02,4.993880508074320196e-13
1.615000000000000000e+02,4.216107430660721688e-13
1.620000000000000000e+02,3.557621945734148757e-13
1.625000000000000000e+02,3.000423422126008127e-13
1.630000000000000000e+02,2.529181190687605126e-13
1.635000000000000000e+02,2.130845710007272192e-13
1.640000000000000000e+02,1.794315260242387439e-13
1.645000000000000000e+02,1.510150400636505042e-13
1.650000000000000000e+02,1.270329487505757203e-13
1.655000000000000000e+02,1.068039469213168290e-13
1.660000000000000000e+02,8.974969712534777039e-14
1.665000000000000000e+02,7.537953740924467144e-14
1.670000000000000000e+02,6.327741828553640309e-14
1.675000000000000000e+02,5.309075035770580460e-14
1.680000000000000000e+02,4.452088861809111772e-14
1.685000000000000000e+02,3.731501789514304951e-14
1.690000000000000000e+02,3.125923711092362755e-14
1.695000000000000000e+02,2.617266862431416946e-14
1.700000000000000000e+02,2.190244359400810476e-14
1.705000000000000000e+02,1.831943553151505801e-14
1.710000000000000000e+02,1.531463249166406153e-14
1.715000000000000000e+02,1.279605406887359675e-14
1.720000000000000000e+02,1.068613288089465054e-14
1.725000000000000000e+02,8.919491830498297968e-15
1.730000000000000000e+02,7.441058401926197719e-15
1.735000000000000000e+02,6.204465799893224114e-15
1.740000000000000000e+02,5.170698070970008356e-15
1.745000000000000000e+02,4.306942630148842324e-15
1.750000000000000000e+02,3.585618996063397377e-15
1.755000000000000000e+02,2.983557143428948828e-15
1.760000000000000000e+02,2.481302820152447561e-15
1.765000000000000000e+02,2.062530543532218490e-15
1.770000000000000000e+02,1.713547866294120396e-15
1.775000000000000000e+02,1.422876958882812735e-15
1.780000000000000000e+02,1.180901649672267164e-15
1.785000000000000000e+02,9.795698513893026668e-16
