x,screening_profile_corrected
1.735000000000000000e+02,4.612312380667495382e-01
1.740000000000000000e+02,4.530883550670997129e-01
1.745000000000000000e+02,4.450892282048040105e-01
1.750000000000000000e+02,4.372313269818352000e-01
1.755000000000000000e+02,4.295121507691081475e-01
1.760000000000000000e+02,4.219292576300821551e-01
1.765000000000000000e+02,4.144802344518160875e-01
1.770000000000000000e+02,4.071627247598118560e-01
1.775000000000000000e+02,3.999743998944125245e-01
1.780000000000000000e+02,3.929129858521919205e-01
1.785000000000000000e+02,3.859762354711109289e-01
1.790000000000000000e+02,3.791619543325214226e-01
1.795000000000000000e+02,3.724679739197768735e-01
1.800000000000000000e+02,3.658921766137270826e-01
1.805000000000000000e+02,3.594324697907140820e-01
1.810000000000000000e+02,3.530868099432832863e-01
1.815000000000000000e+02,3.468531776846892067e-01
1.820000000000000000e+02,3.407296010254378116e-01
1.825000000000000000e+02,3.347141312525759305e-01
1.830000000000000000e+02,3.288048653916094133e-01
1.835000000000000000e+02,3.229999229299607699e-01
1.840000000000000000e+02,3.172974674927730443e-01
1.845000000000000000e+02,3.116956843809913780e-01
1.850000000000000000e+02,3.061928014885648697e-01
1.855000000000000000e+02,3.007870676266428678e-01
1.860000000000000000e+02,2.954767727087235785e-01
1.865000000000000000e+02,2.902602268334522062e-01
1.870000000000000000e+02,2.851357797633372604e-01
1.875000000000000000e+02,2.801018007396019471e-01
1.880000000000000000e+02,2.751566972791903432e-01
1.885000000000000000e+02,2.702988956960519218e-01
1.890000000000000000e+02,2.655268592402970085e-01
1.895000000000000000e+02,2.608390693011901074e-01
1.900000000000000000e+02,2.562340429114776108e-01
1.905000000000000000e+02,2.517103146082324550e-01
1.910000000000000000e+02,2.472664533245714225e-01
1.915000000000000000e+02,2.429010448853273219e-01
1.920000000000000000e+02,2.386127083075960664e-01
1.925000000000000000e+02,2.344000789090193992e-01
1.930000000000000000e+02,2.302618240378508097e-01
1.935000000000000000e+02,2.261966267724088708e-01
1.940000000000000000e+02,2.222032011006276619e-01
1.945000000000000000e+02,2.182802761899909627e-01
1.950000000000000000e+02,2.144266110358343802e-01
1.955000000000000000e+02,2.106409792817943161e-01
1.960000000000000000e+02,2.069221833554545364e-01
1.965000000000000000e+02,2.032690398200432957e-01
1.970000000000000000e+02,1.996803930153656093e-01
1.975000000000000000e+02,1.961551009221569331e-01
1.980000000000000000e+02,1.926920483256143457e-01
1.985000000000000000e+02,1.892901331744647753e-01
1.990000000000000000e+02,1.859482792838036691e-01
1.995000000000000000e+02,1.826654231715638121e-01
2.000000000000000000e+02,1.794405263167841991e-01
2.005000000000000000e+02,1.762725624567717531e-01
2.010000000000000000e+02,1.731605294163595377e-01
2.015000000000000000e+02,1.701034368496379678e-01
2.020000000000000000e+02,1.671003176552167402e-01
2.025000000000000000e+02,1.641502161469667043e-01
2.030000000000000000e+02,1.612521990697744212e-01
2.035000000000000000e+02,1.584053441842802890e-01
2.040000000000000000e+02,1.556087508971074895e-01
2.045000000000000000e+02,1.528615292451076801e-01
2.050000000000000000e+02,1.501628101535566195e-01
